,Close,RSI,MFI,EMA,SO,CloseNext
484,6082.2998046875,56.451548387612895,100.0,6006.8351793685,58.802419900894165,6048.5
485,6048.5,49.964349441425725,50.43613053014031,6012.3904887860335,13.157936930656433,6054.2998046875
486,6054.2998046875,48.75890410136493,33.071303801694754,6017.978397572896,68.13970804214478,6019.35009765625
487,6019.35009765625,50.393627959717094,22.58858788503167,6018.161290917344,20.017509162425995,6074.64990234375
488,6074.64990234375,52.87422976702552,38.253507109278786,6025.693105774199,91.07422232627869,6074.7998046875
489,6074.7998046875,51.580084380384015,46.56429810506466,6032.240665629306,49.62926805019379,6049.89990234375
490,6049.89990234375,52.352700300441604,39.21724507414602,6034.5952305245655,10.742247849702835,6055.75
491,6055.75,45.872676295892745,34.88695241789618,6037.415866454624,41.726529598236084,6034.75
492,6034.75,45.33235286393361,30.35342648911879,6037.060417594007,29.179716110229492,5998.89990234375
493,5998.89990234375,39.690007231155946,27.04593135133547,6031.972348893973,22.508540749549866,5987.25
494,5987.25,40.48561678798378,24.659475548152926,6026.009369041443,10.480349510908127,5956.89990234375
495,5956.89990234375,43.390626346170414,22.744679281248196,6016.794773481752,42.64356791973114,5959.2001953125
496,5959.2001953125,36.88520391010473,29.130739331860553,6009.115496392518,16.027265787124634,5938.7998046875
497,5938.7998046875,35.347666612133054,26.915887297173057,5999.740070831849,22.00339585542679,5903.5
498,5903.5,33.47984057555283,19.906599043172392,5986.908061387603,28.3369243144989,5897.85009765625
499,5897.85009765625,36.21183250676789,20.005004721659006,5975.033666223422,41.6206032037735,5922.5
500,5922.5,41.92401210948434,26.66688446683824,5968.029177393633,87.50014901161194,5932.9501953125
501,5932.9501953125,41.5535559282087,34.105867689871005,5963.351979782816,21.48236781358719,5896.9501953125
502,5896.9501953125,26.10804560412609,26.968326903612066,5954.498408520107,22.282665967941284,5887.39990234375
503,5887.39990234375,31.91667225173299,21.30381195180773,5945.551941029926,72.74655103683472,5898.2001953125
504,5898.2001953125,32.10493598599358,27.381454574698097,5939.23837493427,60.676246881484985,5939.7001953125
505,5939.7001953125,43.96952009548307,32.752504678803234,5939.2999509847,87.8111481666565,5943.0498046875
506,5943.0498046875,40.174873180051385,40.22431534411359,5939.799931478407,16.442355513572693,5852.25
507,5852.25,34.10616442340131,40.29852759240882,5928.126607281287,10.228139907121658,5850.2998046875
508,5850.2998046875,35.040505362024575,40.06399118169682,5917.749700268782,38.15789520740509,5854.75
509,5854.75,32.811778528176944,40.33604667130355,5909.349740232945,55.71171045303345,5761.35009765625
510,5761.35009765625,30.223443747260575,32.360486077136315,5889.616454556052,14.127424359321594,5796.89990234375
511,5796.89990234375,32.412005863249746,40.79806739505442,5877.254247594412,68.90468001365662,5693.0498046875
512,5693.0498046875,27.70419448887492,38.24474044092305,5852.693655206824,11.881967633962631,5719.7001953125
513,5719.7001953125,26.02516324461179,37.415885569471456,5834.9611938875805,66.83475375175476,5698.5
514,5698.5,27.11955535073386,30.859505009328316,5816.766368035904,72.10738062858582,5784.25
515,5784.25,36.83604907703906,31.09111607419318,5812.4308522977835,91.35881662368774,5818.60009765625
516,5818.60009765625,36.175506983902444,38.02706496911114,5813.253418345579,69.98519897460938,5863.2998046875
517,5863.2998046875,33.885695705610004,43.96907512421719,5819.926269857835,80.83421587944031,5945.7001953125
518,5945.7001953125,39.03750101497142,44.906644832703925,5836.696126585124,89.76393342018127,5942.35009765625
519,5942.35009765625,43.062712868845615,45.5185178262083,5850.783322727941,29.375696182250977,5914.10009765625
520,5914.10009765625,47.79565458897504,39.81448283806221,5859.225559385049,35.04740595817566,5851.2001953125
521,5851.2001953125,49.91651665550967,40.590951643232515,5858.155510842042,17.345306277275085,5908.9501953125
522,5908.9501953125,47.10557600661219,47.52641394540084,5864.928135438103,91.27748012542725,5872.60009765625
523,5872.60009765625,51.245731078565875,53.804296610270875,5865.951063733856,13.703615963459015,5835.25
524,5835.25,55.595079042455424,55.119561169833915,5861.857588569343,58.298033475875854,5745.9501953125
525,5745.9501953125,53.612522624954586,47.007659494628726,5846.40326946843,15.542243421077728,5694.39990234375
526,5694.39990234375,57.24274059109508,50.364764154806,5826.136153851807,19.20650452375412,5658.75
527,5658.75,60.00261324543946,50.270292711473445,5803.8180000049,9.835904836654663,5651.35009765625
528,5651.35009765625,60.92164103517892,49.80879624566611,5783.488946358413,32.77479410171509,5633.85009765625
529,5633.85009765625,59.721026411656595,49.64536129419086,5763.537099864791,10.053399205207825,5641.60009765625
530,5641.60009765625,56.57385157713174,42.75953092630045,5747.278832903653,68.32437515258789,5682.5498046875
531,5682.5498046875,56.09017819669711,44.63115977704847,5738.648295808166,88.19479942321777,5704.39990234375
532,5704.39990234375,46.46189515615672,43.06295681949703,5734.081843346245,63.26262950897217,5748.10009765625
533,5748.10009765625,45.80898128282903,42.40227067827157,5735.950943920912,90.36325812339783,5672.89990234375
534,5672.89990234375,42.83341399294248,41.99312182611086,5727.544138377291,24.03772473335266,5574.75
535,5574.75,40.84162261476233,41.75030417677082,5707.171586593653,11.548304557800293,5553.25
536,5553.25,37.802326197575574,34.73364703059295,5686.648708381166,43.54454278945923,5542.9501953125
537,5542.9501953125,39.15219330859995,27.988993640776812,5667.488906638678,18.35246980190277,5495.10009765625
538,5495.10009765625,38.59667412480181,27.59157161161187,5644.503732107687,6.979846209287643,5558.7001953125
539,5558.7001953125,46.71862703544856,34.74042511336883,5633.0632605349965,88.53902816772461,5594.0
540,5594.0,47.544964376483634,42.96598196884258,5627.854825796997,75.44255256652832,5528.5498046875
