,Open,High,Low,Close,Volume,RSI,MFI,EMA,SO,CloseNext
612,280.9859924316406,289.24798583984375,278.71099853515625,288.45599365234375,7012020.0,56.65291501447424,43.60246932119268,285.4998752446433,92.48369336128235,282.2229919433594
613,287.5660095214844,287.96099853515625,279.3039855957031,282.2229919433594,5431075.0,53.08177780129594,49.77753778432484,285.0629574711388,33.718401193618774,283.8550109863281
614,281.5799865722656,285.0429992675781,277.77099609375,283.8550109863281,5264224.0,47.16940450735287,43.21610725878021,284.90189793983075,83.66353511810303,291.52301025390625
615,283.9540100097656,294.4419860839844,283.9540100097656,291.52301025390625,6314978.0,46.62997261244262,42.43052906300538,285.7847129150408,72.16836214065552,294.6889953613281
616,290.8800048828125,297.6080017089844,290.18701171875,294.6889953613281,5387382.0,44.40374300454161,48.41194488460298,286.9719505745458,60.665541887283325,295.6289978027344
617,295.0350036621094,298.29998779296875,291.12701416015625,295.6289978027344,7396292.0,39.22382992237921,57.84811723469015,288.1262235383043,62.763142585754395,294.1449890136719
618,294.8380126953125,297.7560119628906,291.572998046875,294.1449890136719,4847044.0,39.952653178226385,51.52574690398989,288.92872560168666,41.59769117832184,296.7170104980469
619,294.8380126953125,300.0320129394531,291.572998046875,296.7170104980469,8189807.0,38.904741241573994,52.483306777165055,289.967163587868,60.811012983322144,286.87298583984375
620,297.8059997558594,298.4490051269531,284.2510070800781,286.87298583984375,4301036.0,37.50152076800679,54.193929872141716,289.5546065547981,18.467243015766144,292.6109924316406
621,284.9440002441406,293.8479919433594,284.9440002441406,292.6109924316406,4637896.0,40.93839055502782,52.957776535661665,289.96212467171046,86.10736131668091,281.87701416015625
622,292.8089904785156,294.4909973144531,279.3039855957031,281.87701416015625,6450197.0,36.30653583837499,55.0482894840582,288.8841099368366,16.94229692220688,287.4169921875
623,279.50201416015625,289.39599609375,275.04998779296875,287.4169921875,6140049.0,39.42464962148068,48.07758692990849,288.68849423692507,86.20519638061523,285.8840026855469
624,288.4070129394531,290.5830078125,281.1839904785156,285.8840026855469,4108886.0,40.19681507808038,45.1374457212144,288.3145620300746,50.00535845756531,287.3680114746094
