,Open,High,Low,Close,Volume,RSI,MFI,EMA,SO,CloseNext
94,229.49000549316406,230.93499755859375,225.56500244140625,226.35499572753906,19949120.0,35.7607899159981,39.020457664049026,231.92401179525433,14.711247384548187,224.2899932861328
95,226.97999572753906,227.4949951171875,222.52999877929688,224.2899932861328,14751640.0,41.85717899732869,40.263728465639545,230.9061426607048,35.44805347919464,221.9949951171875
96,223.89500427246094,224.1999969482422,221.0,221.9949951171875,17059570.0,42.538168097691106,41.35188031732047,229.7179896549025,31.093627214431763,223.02499389648438
97,223.10000610351562,224.64999389648438,222.0749969482422,223.02499389648438,15920730.0,44.25891583457744,49.87456578450046,228.82559022044677,36.89312934875488,218.25
98,223.35000610351562,223.5749969482422,217.5749969482422,218.25,20552870.0,42.00717755681058,53.76913065186165,227.4155115243872,11.250051110982895,220.5449981689453
99,217.16000366210938,222.51499938964844,216.13499450683594,220.5449981689453,23779200.0,38.304838728701895,43.99862852782112,226.49944307699494,69.1222608089447,221.30999755859375
100,222.0,222.1300048828125,218.8800048828125,221.30999755859375,12198680.0,39.13511673882857,43.66410775305337,225.80751700787476,74.76900815963745,218.02000427246094
101,222.0,222.17999267578125,212.0050048828125,218.02000427246094,15482450.0,29.503909653018297,36.11597986451938,224.76918197648627,59.1155469417572,214.85000610351562
102,218.8000030517578,220.99000549316406,214.1199951171875,214.85000610351562,16470300.0,23.34713495401384,26.41730590367922,223.44662519342353,10.626053810119629,214.0500030517578
103,216.17999267578125,216.4600067138672,212.3249969482422,214.0500030517578,14625190.0,26.49466344776154,18.06172642278058,222.19374224120145,41.71710014343262,216.13499450683594
104,213.64999389648438,216.99000549316406,213.60000610351562,216.13499450683594,9463560.0,29.545170877830742,22.81331506448751,221.38590920995273,74.77843165397644,228.61000061035156
105,217.69500732421875,229.80999755859375,217.36000061035156,228.61000061035156,27608460.0,53.39252079230061,33.35881338472247,222.34912139667256,90.36146998405457,232.60000610351562
106,227.5,232.97999572753906,226.1999969482422,232.60000610351562,22791310.0,57.78828417595703,36.227875470705214,223.71590602425164,94.3954348564148,234.11000061035156
107,233.11000061035156,234.9199981689453,231.98500061035156,234.11000061035156,17301420.0,55.28845683592468,43.07332514484655,225.1017853023983,72.40210175514221,237.9550018310547
108,235.1999969482422,238.63999938964844,234.50999450683594,237.9550018310547,18677540.0,56.15285544988883,51.18923406860205,226.81554750621916,83.4141194820404,240.46499633789062
109,238.8000030517578,243.3000030517578,238.8000030517578,240.46499633789062,27865900.0,54.18392572221067,59.6835657849042,228.63547401710872,36.99985146522522,242.02999877929688
110,241.85000610351562,242.9499969482422,238.39999389648438,242.02999877929688,18739400.0,51.594757056588094,66.57730012240589,230.42141065206715,79.7802746295929,243.61000061035156
111,244.5399932861328,244.89999389648438,242.1999969482422,243.61000061035156,9574540.0,52.01931625160768,65.8736020626764,232.17988931317174,52.222418785095215,247.3300018310547
112,243.89999389648438,247.83999633789062,240.9499969482422,247.3300018310547,15940790.0,57.71920279098286,73.37765317412261,234.19990431555615,92.59804487228394,244.38499450683594
